title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
Little Fockers,2010,PG-13,98 minutes,Comedy,,,,Paul Weitz,"Robert De Niro,Ben Stiller,Owen Wilson,Blythe Danner,Teri Polo,Jessica Alba,Dustin Hoffman,Barbra Streisand","$310,650,574"
Les amitiÃ©s malÃ©fiques,2007,Not Rated,,Drama,,,,,,
The Amityville Horror,1979,R,,Horror,,,,Stuart Rosenberg,"James Brolin,Margot Kidder,Rod Steiger",
The Amityville Horror,2005,R,89 minutes,Horror,,,,Andrew Douglas,Ryan Reynolds,"$109,175,673"
Amish Grace,2010,,,Drama,,,,,,
Amistad,1997,R,152 minutes,Drama,,,,Steven Spielberg,"Morgan Freeman,Anthony Hopkins,Djimon Hounsou,Matthew McConaughey","$58,250,151"
Les Amigues de l'Ã€gata,2015,,70 minutes,Drama,,,,Laia Alabart,,"$14,211"
Amidst the Devil's Wings,2015,Not Rated,,Action,,,,Daniel Columbie,,
Amigo,2011,R,128 minutes,Drama,,,,John Sayles,"Joel Torre,Garret Dillahunt",
Amira & Sam,2015,Not Rated,87 minutes,Romantic Comedy,,,,Sean Mullin,"Martin Starr,Dina Shihabi",
Le Amiche,2010,Not Rated,104 minutes,Drama,,,,,,
Ami Thumi,2017,,124 minutes,Romantic Comedy,,,,Mohan Krishna Indraganti,,"$4,622"
L'Ami: FranÃ§ois d'Assise et ses frÃ¨res,2016,,,Drama,,,,Renaud Fely,,"$129,210"
Dispossession: The Great Social Housing Swindle,2017,,82 minutes,Documentary,,,,Paul Sng,,"$46,035"
Amhurst,2008,,,Thriller/Suspense,,,,,,
Distance,2016,,108 minutes,Drama,,,,,,"$1,670,000"
Displacement,2017,Not Rated,150 minutes,Thriller/Suspense,,,,Kenneth Mader,Courtney Hope,
The Displaced Person,1977,,,,,,,,,
Disorderlies,1987,,,Comedy,,,,,,
Disorganized Crime,1989,,,Comedy,,,,,,
La Disparue de Deauville,2007,,103 minutes,Thriller/Suspense,,,,Sophie Marceau,,"$601,765"
Disney's The American Presidents: Postwar United States and Contemporary United States,2010,,,Educational,,,,,,
"Disney's The American Presidents: 1890-1945: The Emergence of Modern America, The Great Depression & WWII",2010,,,Educational,,,,,,
Disobedience,2018,R,114 minutes,Drama,,,,Sebastian Lelio,"Rachel Weisz,Rachel McAdams",
Disneyâ€™s Newsies: The Broadway Musical,2017,PG,149 minutes,Musical,,,,,Jeremy Jordan,"$192,651"
Greetings from Tim Buckley,2013,Not Rated,103 minutes,Drama,,,,Dan Algrant,Penn Badgley,
The Greenstone,2016,,122 minutes,Drama,,,,Christoph van der Bij,,"$9,803"
Greetings from the Shore,2008,R,,Drama,,,,,,
Greenwich Village: Music That Defined a Generation,2013,Not Rated,92 minutes,Documentary,,,,Laura Archibald,,
Greenfingers,2001,R,,Comedy,,,,,,
The Greening of Whitney Brown,2011,PG,88 minutes,Adventure,,,,Peter Odiorne,"Brooke Shields,Sammi Hannraty",
Greencastle,2012,PG-13,,,,,,,,
Greendale,2004,Not Rated,,Musical,,,,,,
Greencard Warriors,2014,PG-13,90 minutes,Drama,,,,Miriam Kruishoop,"Manny Perez,Angel Amaral,Vivica A. Fox,McKinley Freeman",
The Green Wave,2012,,80 minutes,Documentary,,,,Ali Samadi Ahadi,,
Freddie as F.R.O.7,1992,,,,,,,,,
Green Street Hooligans: Underground,2015,R,,Action,,,,Jesse V. Johnson,,
Greenberg,2010,R,107 minutes,Romantic Comedy,,,,Noah Baumbach,Ben Stiller,"$7,362,982"
Green Zone,2010,R,114 minutes,Drama,,,,Paul Greengrass,Matt Damon,"$97,523,020"
Green Street Hooligans,2005,R,,Drama,,,,,,"$4,333,271"
Freddy Got Fingered,2001,R,,Comedy,,,,,,
Fred: The Movie,2010,,,Comedy,,,,Clay Weiner,"Lucas Cruikshank,Pixie Lott,Jake Weary,Jennette McCurdy",
Fred 3: Camp Fred,2012,,,Comedy,,,,,,
Fred & Vinnie,2012,,,Comedy,,,,Steve Skrovan,"Fred Stoller,Angelo Tsarouchas",
Fred 2: Night of the Living Fred,2011,,82 minutes,Comedy,,,,,,
Freaky Friday,1977,,,Comedy,,,,,Jodie Foster,
Freche MÃ¤dchen,2008,,,Comedy,,,,,,"$5,752,203"
Freaky Deaky,2011,R,,Comedy,,,,Charles Matthau,,
Fred Claus,2007,PG,115 minutes,Comedy,,,,David Dobkin,"Vince Vaughn,Paul Giamatti","$97,837,638"
Freaky Friday,2003,PG,97 minutes,Comedy,,,,Mark Waters,,"$160,822,438"
Freaky Ali,2016,Not Rated,120 minutes,Romantic Comedy,,,,Sohail Khan,Nawazuddin Siddiqui,"$53,497"
Freaks of Nature,2015,R,92 minutes,Black Comedy,,,,Robbie Pickering,"Nicholas Braun,Mackenzie Davis,Josh Fadem,Denis Leary,Keegan-Michael Key,Ed Westwick,Vanessa Hudgens",
Cidade dos Homens,2008,R,106 minutes,Drama,,,,,,"$2,606,553"
El Cid,1961,,184 minutes,,,,,,,
Cidade Baixa,2006,R,,Drama,,,,,,
Ciclo Grande Cinema Russo,1987,,,Romantic Comedy,,,,Nikita Mikhalkov,,"$1,564"
ÄŒiara,2017,,108 minutes,Thriller/Suspense,,,,Peter Bebjak,,"$2,148,708"
Cidade de Deus,2003,R,,Drama,,,,Fernando Meirelles,,"$32,059,295"
Ci ma,2008,,,Action,,,,,,
Chuzhaya,2010,R,,Action,,,,,,"$1,849,944"
Ciao America,2002,R,,Drama,,,,,,
CIA: Comrade in America,2017,,134 minutes,Thriller/Suspense,,,,Amal Neerad,,"$8,559"
Chutney Popcorn,2000,Not Rated,,Comedy,,,,,,
Ciao,2008,R,,,,,,,"Charles W. Blaum,Adam Neal Smith",
NOW: In the Wings on a World Stage,2014,Not Rated,97 minutes,Documentary,,,,Jeremy Whelehan,Kevin Spacey,
Now Hiring,2016,,,Action,,,,Mark Cantu,,
Now and Then,1995,PG-13,,Drama,,,,,Demi Moore,
Churchill,2017,PG,110 minutes,Drama,,,,Jonathan Teplitzky,"Brian Cox,Miranda Richardson,John Slattery","$6,402,580"
Now & Forever,2005,R,,Drama,,,,Bob Clark,,
Now & Later,2011,Not Rated,,Drama,,,,,,
Now Add Honey,2015,,,Comedy,,,,Wayne Hope,,"$100,321"
Novogodniy Perepolokh,2017,,,Comedy,,,,Cyril Papakul,,"$902,645"
La novia del desierto,2018,,85 minutes,Drama,,,,Cecilia Atan,,
Novocaine,2001,R,95 minutes,Comedy,,,,David Atkins,Steve Martin,"$2,522,928"
The November Men,1994,,,,,,,,,
Novitiate,2017,R,123 minutes,Drama,,,,Maggie Betts,"Margaret Qualley,Melissa Leo",
Los novios bÃºlgaros,2004,Not Rated,,Comedy,,,,,,
November Criminals,2017,PG-13,85 minutes,Drama,,,,Sacha Gervasi,"ChloÃ« Grace Moretz,Ansel Elgort",
November Christmas,2010,,,,,,,Robert Harmon,,
The November Man,2014,R,108 minutes,Thriller/Suspense,,,,Roger Donaldson,"Pierce Brosnan,Luke Bracey,Olga Kurylenko","$34,820,335"
Best of the Best 2,1993,R,,Action,,,,,,
Best of Penn Says: Religion,2010,,,Concert/Performance,,,,,,
Best of the Best,1989,,,Action,,,,,,
Best Of Europe: The Great Cities,2010,,,Documentary,,,,,,
The Best of Me,2014,PG-13,118 minutes,Drama,,,,Michael Hoffman,"Michelle Monaghan,James Marsden","$41,059,418"
Best Of Europe: Belgium & Holland,2010,,,Documentary,,,,,,
Best Of Europe: Music Lover's Europe,2010,,,Documentary,,,,,,
Best Of Europe: Beautiful Italy,2010,,,Documentary,,,,,,
Best Of Europe Beautiful Greece,2010,,,,,,,,,
Best Of Europe: Beautiful France,2010,,,Documentary,,,,,,
The Best of Enemies,2017,PG-13,,Drama,,,,Robin Bissell,,
Best of Europe: Beautiful Germany,2010,,,Documentary,,,,,,
Me and Veronica,1993,,,,,,,Don Scardino,"Elizabeth McGovern,Patricia Wettig,Michael O'Keefe",
"Me & You, Us, Forever",2008,Not Rated,,Drama,,,,,,
Best of Enemies,2015,R,87 minutes,Documentary,,,,Robert Gordon,,"$904,119"
Me and My Shadow,2013,,,Adventure,,,,,,
Me and You and Everyone We Know,2005,R,,Drama,,,,,,"$9,615,464"
Me and My Monster,2010,,,Adventure,,,,Neil Jordan,,
Me & Isaac Newton,2000,Not Rated,,,,,,,,
Me and Orson Welles,2009,PG-13,113 minutes,Drama,,,,Richard Linklater,"Zac Efron,Christian McKay,Claire Danes",
McQueen,2018,,,Documentary,,,,Ian Bonhote,,
McQ,1974,,111 minutes,Action,,,,John Sturges,John Wayne,
McLintock!,1963,,,Western,,,,Andrew V. McLaglen,,
McLaren,2017,Not Rated,92 minutes,Documentary,,,,Roger Donaldson,,"$638,602"
McLibel,2005,Not Rated,,Documentary,,,,,,
Me and Earl and the Dying Girl,2015,PG-13,105 minutes,Drama,,,,Alfonso Gomez-Rejon,"Thomas Mann,Olivia Cooke,RJ Cyler","$9,266,180"
McHale's Navy,1997,PG,108 minutes,Comedy,,,,,,
Pink Cadillac,1989,PG-13,,Comedy,,,,,Clint Eastwood,
Pinjan,2003,Not Rated,,,,,,,,
Pink,2016,Not Rated,136 minutes,Documentary,,,,Aniruddha Roy Chowdhury,Amitabh Bachchan,"$206,211"
"McFarland, USA",2015,PG,128 minutes,Drama,,,,Niki Caro,"Kevin Costner,Michael Aguero,Sergio Avelar,Hector Duran,Rafael Martinez,Johnny Ortiz,Carlos Pratts,Ramiro Rodriguez","$45,707,924"
Ping Pong Playa,2008,PG-13,,Drama,,,,,,
Ping Guo,2008,Not Rated,,Drama,,,,,,
Ping Pong Summer,2014,Not Rated,91 minutes,Comedy,,,,Michael Tully,"Marcello Conte,John Hannah,Amy Sedaris,Lea Thompson,Susan Sarandon,Myles Massey","$82,282"
Pinero,2001,R,,,,,,,,
Pinching Penny,2011,R,,Black Comedy,,,,,,
Little Einsteins: The Christmas Wish,2008,,,,,,,,,
Little Einsteins: Mission Celebration,2006,,,Educational,,,,,,
Little Dorrit,1988,,,,,,,,,
Pineapple Express,2008,R,112 minutes,Comedy,,,,David Gordon Green,"Seth Rogen,James Franco,Danny McBride","$102,404,019"
The Little Drummer Girl,1984,,,Thriller/Suspense,,,,George Roy Hill,Diane Keaton,
The Little Death,2012,Not Rated,75 minutes,Drama,,,,Bret Wood,,"$11,385"
The Little Death,2015,Not Rated,97 minutes,Comedy,,,,Josh Lawson,"Bojana Novakovic,Damon Herriman,Kate Box,Patrick Brammall,Josh Lawson,Kate Mulvany","$1,337,808"
Little Dead Rotting Hood,2016,,,Horror,,,,Jared Cohn,,
Little Darlings,1980,,,,,,,,,
A Little Christmas Business,2015,,,Drama,,,,Chuck Walker,,
Amexicano,2008,PG-13,,Drama,,,,,,
Les Ã¢mes Grises,2005,,,,,,,,,
Americathon,1979,,,Comedy,,,,Neal Israel,,
Americons,2015,R,88 minutes,Action,,,,Theo Avgerinos,,
AmeriGeddon,2016,PG-13,92 minutes,Action,,,,Mike Norris,"Gary Heavin,Marshall Teague,Spencer Neville",
America's Heart and Soul,2004,Not Rated,,Documentary,,,,,,
America's Sweethearts,2001,PG-13,106 minutes,Romantic Comedy,,,,Joe Roth,"Julia Roberts,Billy Crystal,Catherine Zeta-Jones,John Cusack","$160,648,493"
Americano,2012,Not Rated,90 minutes,,,,,Mathieu Demy,,
El Americano: The Movie,2017,G,,Adventure,,,,Ricardo Arnaiz,,"$336,874"
Americano,2006,R,,Drama,,,,,,
Americanizing Shelley,2007,PG,,Romantic Comedy,,,,Lorraine Senna,,
Americanese,2006,,,Drama,,,,,,
American Zombie,2008,Not Rated,,Horror,,,,,,
American Yogi,2018,,,Documentary,,,,Steven Newmark,,
Izzy Gets the F**k Across Town,2018,,,,,,,Christian Papierniak,Mackenzie Davis,
Izzie's Way Home,2016,,,Adventure,,,,,,
Home Alone 4,2003,,89 minutes,Comedy,,,,,,
Iwootjib Seuta,2017,,93 minutes,Drama,,,,Kim Sung-Wook,,"$69,154"
Home Alone 2: Lost in New York,1992,PG,120 minutes,Adventure,,,,Chris Columbus,"Macaulay Culkin,Daniel Stern,John Heard","$358,994,850"
Ixcanul,2016,Not Rated,91 minutes,Drama,,,,Jayro Bustamente,Maria Mercedes Coroy,"$590,207"
Home,2016,,,Horror,,,,Frank Lin,,
Home Alone,1990,PG,103 minutes,Comedy,,,,Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,John Heard,John Candy","$476,684,675"
Home,2009,Not Rated,,Documentary,,,,Yann Arthus-Bertrand,,"$1,620,056"
Home,2009,Not Rated,,Drama,,,,Ursula Meier,,
Home Again,2017,PG-13,97 minutes,Romantic Comedy,,,,Hallie Meyers-Shyer,Reese Witherspoon,"$37,337,061"
El Hombre que Cuida,2016,,,,,,,Alejandro Andujar,,
Home,2009,PG-13,,Drama,,,,Mary Haverstick,,"$44,793,168"
El Hombre de las mil caras,2016,,,Drama,,,,Alberto Rodriguez,,"$2,741,840"
Hombre,1967,,111 minutes,,,,,Martin Ritt,Paul Newman,
Home,2015,PG,94 minutes,Adventure,,,,Tim Johnson,"Jim Parsons,Rihanna,Jennifer Lopez,Steve Martin,Matt Jones","$386,069,390"
Holy Stokes! A Real Life Happening,2016,,,Documentary,,,,Russell Houghten,,
Holy Working Day,2016,,83 minutes,Documentary,,,,Hee-won Lee,,"$11,309"
Holy Rollers,2010,R,,Drama,,,,,,
Holy Smoke,1999,R,,Drama,,,,Jane Campion,Kate Winslet,"$3,580,723"
Disney's Animal Kingdom,2010,,,Documentary,,,,,,
Disneynature: Crimson Wing - The Mystery of the Flamingo,2010,,,Documentary,,,,,,
"Disney Parks: The Secrets, Stories and Magic Behind the Scenes",2010,,,Documentary,,,,,,
Disney Princess Enchanted Tales - Follow Your Dreams,2007,,,,,,,,,
Disney Cruise Line,2010,,,Documentary,,,,,,
Dismal,2010,R,,,,,,,,
Dismissed,2017,,86 minutes,Horror,,,,Benjamin Arfmann,,
Disneyâ€™s A Christmas Carol,2009,PG,95 minutes,Drama,,,,Robert Zemeckis,Jim Carrey,"$315,709,697"
Dislecksia: The Movie,2013,Not Rated,,Documentary,,,,Harvey Hubbell V,,
Disko ja tuumasoda,2010,,80 minutes,Documentary,,,,Jaak Kilmi,,
(Dis)Honesty: The Truth About Lies,2015,Not Rated,90 minutes,Documentary,,,,Yael Melamede,,
Dishoom,2016,Not Rated,124 minutes,Action,,,,Rohit Dhawan,"John Abraham,Varun Dhawan","$1,364,949"
The Dish and the Spoon,2011,R,,,,,,,,
Disgrace,2009,R,,Drama,,,,,John Malkovich,
The Dish,2001,PG-13,,Comedy,,,,,,"$16,252,970"
A Green Story,2013,Not Rated,95 minutes,Drama,,,,Nika Agiashvili,"Shannon Elizabeth,Ed O'Ross,Billy Zane,Annabella Sciorra,Malcolm McDowell,George Finn",
The Green Room,1993,,94 minutes,Drama,,,,,,
The Green Slime,1998,,,Action,,,,,,
Green Lantern: First Flight,2009,,,,,,,,,
Green Lantern Corps,2020,,,Action,,,,,,
Green Room,2016,R,94 minutes,Horror,,,,Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Alia Shawkat,Joe Cole,Callum Turner,Patrick Stewart","$3,807,503"
Green Lantern: Emerald Knights,2011,,84 minutes,Adventure,,,,,,
The Green Prince,2014,PG-13,101 minutes,Documentary,,,,Nadav Schirman,,
Green is Gold,2016,R,81 minutes,Drama,,,,Ryon Baxter,,
The Green Mile,1999,R,187 minutes,Drama,,,,Frank Darabont,"Tom Hanks,Michael Clarke Duncan","$290,701,374"
Green Day Live at Fox Theater,2009,R,,,,,,,,
Green Lantern,2011,PG-13,113 minutes,Action,,,,Martin Campbell,Ryan Reynolds,"$219,535,492"
Green Card Fever,2003,Not Rated,,,,,,,,
Green Dragon,2002,PG-13,,,,,,,Patrick Swayze,
Freakonomics,2010,PG-13,85 minutes,Documentary,,,,,Michael MacAllister,"$172,867"
Freak Weather,1999,,,,,,,Mary Kuryla,,
The Green Inferno,2015,R,103 minutes,Horror,,,,Eli Roth,Lorenza Izzo,"$12,931,569"
Fraulein,2008,Not Rated,,Drama,,,,,,
Freak Show,2018,Not Rated,91 minutes,Comedy,,,,Trudie Styler,"Alex J. Lawther,Abigail Breslin,AnnaSophia Robb,Laverne Cox,Bette Midler",
Freak Shift,2017,,95 minutes,Action,,,,Ben Wheatley,,
The Green Hornet,2011,PG-13,118 minutes,Action,,,,Michel Gondry,"Seth Rogen,Jay Chou","$229,155,503"
FrÃ¤ulein - Una fiaba d'inverno,2016,,90 minutes,Comedy,,,,Caterina Carone,,"$27,329"
Fraude,2008,Not Rated,,Documentary,,,,,,
Die Frau mit den 5 Elefanten,2011,Not Rated,94 minutes,Documentary,,,,Vadim Jendreyko,,
Frau im Mond,2016,Not Rated,156 minutes,Multiple Genres,,,,Fritz Lang,,
Frat Party,2009,R,,,,,,,,
Fratricide,2006,,,,,,,,,
Fraternity Vacation,1985,,,Comedy,,,,,,
Church: The Movie,2011,PG,,,,,,,,
Church Ball,2006,PG,91 minutes,Comedy,,,,,,
Chupacabra Territory,2017,,,,,,,Matthew McWilliams,,
A Quiet Dream,2016,,101 minutes,Drama,,,,Lu Zhang,,"$103,921"
Chun Jie Xin Ling . Zhu Meng Yan Yi Quan,2016,,95 minutes,Comedy,,,,,,"$180,000"
Chung hing sam lam,1996,PG-13,,Drama,,,,Wong Kar-wai,,
Chup Chup Ke,2006,Not Rated,,Comedy,,,,,,
Chunhyang,2000,R,,Drama,,,,,,
Chun Feng Chen Zui De Ye Wan,2010,Not Rated,,Drama,,,,,,
The Chumscrubber,2005,R,,Drama,,,,,,
Chuen Sing Yit Luen Yit Lat Lat,2010,PG,93 minutes,Romantic Comedy,,,,Tony Chan,"Jacky Cheung,Rene Liu,Vivian Hsu,Daniel Wu,Nicholas Tse,Barbie Hsu,Angelababy,Fu Xinbo,Duan Yihong,Gordon Liu,Boran Jing",
Chudo Yudo,2017,,75 minutes,Adventure,,,,Artem Lukichev,,"$897,187"
Chucks,2015,,,Drama,,,,Gerhard Ertl,,"$29,090"
November,2018,Not Rated,115 minutes,Drama,,,,Rainer Sarnet,"Rea Lest,Jorgen Liik",
Chuck&Buck,2000,R,,Drama,,,,Chris Weitz,Mike White,"$1,157,672"
November,2005,R,,Drama,,,,,Courteney Cox,
Novecento,2012,,,,,,,,,
Nove Lune e Mezza,2017,,90 minutes,Comedy,,,,Michela Andreozzi,,"$977,207"
Les nouvelles aventures d'Aladin,2015,,107 minutes,Comedy,,,,Arthur Benzaquen,,"$4,126,479"
La Nouvelle Vie de Paul Sneijder,2016,Not Rated,114 minutes,Drama,,,,Thomas Vincent,Thierry Lhermitte,
La nouvelle guerre des boutons,2012,Not Rated,99 minutes,Adventure,,,,Christophe Barratier,"Marie Bunel,Francois Morel,Jean Texier,Ilona Bachelier,Clement Godefroy,Theophile Baquet,Louis Dussol,Harold Werner,Thomas Goldberg","$9,309,554"
Nouvelle-France,2004,Not Rated,,Drama,,,,,,
Une nouvelle amie,2015,R,109 minutes,Thriller/Suspense,,,,Francois Ozon,"Romain Duris,Anais Demoustier,Raphael Personnaz,Isild Le Besco","$564,724"
Nous ne viellirons pas ensemble,2012,Not Rated,,,,,,,,
Le notti del terrore,2011,,,,,,,Andrea Bianchi,,
Notte Prima Degli Esami: Oggi,2007,,,,,,,,,
Nous trois ou rien,2015,,107 minutes,Comedy,,,,Kheiron,,"$3,738,554"
Best Night Ever,2014,R,82 minutes,Comedy,,,,Jason Friedberg,"Desiree Hall,Samantha Colburn,Eddie Ritchard,Crista Flanaghan","$18,861"
Best Men,1997,,,Comedy,,,,,,
Notting Hill,1999,PG-13,124 minutes,Romantic Comedy,,,,Roger Michell,"Julia Roberts,Hugh Grant","$363,728,226"
The Best Man Wedding,2016,,,Drama,,,,Malcolm D. Lee,,
The Best Man,1998,,,Drama,,,,,,
Best Man in Grass Creek,2001,PG,,Romantic Comedy,,,,,,
Best Man Down,2013,PG-13,89 minutes,Comedy,,,,Ted Koland,"Justin Long,Tyler Labine,Jess Weixler,Addison Timlin",
The Best Man,1999,R,,Romantic Comedy,,,,Malcolm D. Lee,,"$34,572,780"
Best Man: Best Boy and All of Us 20 Years Later,1999,,,,,,,,,
The Best Little Whorehouse in Texas,1982,R,,Comedy,,,,,,
The Best Man Holiday,2013,R,122 minutes,Comedy,,,,Malcolm D. Lee,"Morris Chestnut,Taye Diggs,Regina Hall,Terrence Howard,Sanaa Lathan,Nia Long,Harold Perrineau,Monica Calhoun,Melissa De Sousa","$72,835,710"
Best Laid Plans,1999,R,,Thriller/Suspense,,,,,Reese Witherspoon,
Best F(r)iends: Volume Two,2018,,,,,,,Justin MacGregor,,
Best F(r)iends: Volume One,2018,,,,,,,Justin MacGregor,Tommy Wiseau,
Best in Show,2000,PG-13,,Comedy,,,,Christopher Guest,"Catherine O'Hara,Christopher Guest","$20,695,413"
McDull: Rise of the Rice Cooker,2016,,90 minutes,Adventure,,,,Brian Tse,,"$2,650,000"
"McDull, Kung Fu Kindergarten",2009,,81 minutes,Adventure,,,,Brian Tse,,"$11,980,000"
McConkey,2013,,,Documentary,,,,Rob Bruce,,
McCanick,2014,R,96 minutes,Drama,,,,Josh C. Waller,"David Morse,Cory Monteith",
McCabe & Mrs. Miller,1971,,,Western,,,,Robert Altman,,
McBain,1991,,,,,,,James Glickenhaus,Christopher Walken,
MC5: A True Testimonial,2004,Not Rated,,,,,,,,"$10,888"
Mca: Middle Class Abbayi,2017,,144 minutes,Comedy,,,,Venu Sriram,,"$9,939,186"
MBA Partners,2016,,101 minutes,Drama,,,,,,"$12,399,974"
The Maze,2010,R,,Horror,,,,,,
Maze,2017,,92 minutes,Drama,,,,Stephen Burke,,"$680,840"
Maze Runner: The Death Cure,2018,PG-13,114 minutes,Thriller/Suspense,,,,James Dashner,"Dylan Oâ€™Brien,Kaya Scodelario,Thomas Brodie-Sangster,Dexter Darden,Ki Hong Lee,Rosa Salazar","$283,730,169"
Maze,2001,R,,,,,,,,
The Pin,2013,R,85 minutes,Drama,,,,Naomi Jaye,"Milda Gecaite,Grisha Pasternak",
Pillow Talk,1959,,102 minutes,Romantic Comedy,,,,,,
Pina,2012,PG,103 minutes,Documentary,,,,Wim Wenders,,"$24,460,758"
The Maze Runner,2014,PG-13,113 minutes,Thriller/Suspense,,,,Wes Ball,"Dylan Oâ€™Brien,Kaya Scodelario,Thomas Brodie-Sangster,Will Poulter,Aml Ameen","$348,319,861"
Maze Runner: The Scorch Trials,2015,PG-13,131 minutes,Thriller/Suspense,,,,Wes Ball,"Dylan Oâ€™Brien,Kaya Scodelario,Thomas Brodie-Sangster,Ki Hong Lee","$310,697,192"
The Pillow Book,1997,Not Rated,126 minutes,Drama,,,,,"Ewan McGregor,Vivian Wu",
Pilgrimage,2017,,96 minutes,Thriller/Suspense,,,,Brendan Muldowney,,
Pikovaya dama. Chyornyy obryad,2015,Not Rated,,Horror,,,,Svyatoslav Podgayevskiy,,"$1,996,552"
Piku,2015,Not Rated,135 minutes,Drama,,,,Shoojit Sircar,"Amitabh Bachchan,Deepika Padukone,Irfan Khan","$2,105,759"
Pigumim,2017,,90 minutes,Drama,,,,Matan Yair,,"$11,423"
Pikovaya dama,2016,,120 minutes,Thriller/Suspense,,,,Pavel Lungin,,"$453,252"
Pig Hunt,2009,R,,Horror,,,,James Isaacs,,
Pig,2014,,90 minutes,Thriller/Suspense,,,,Henry Barrial,,
Piglet's Big Movie,2003,G,82 minutes,Adventure,,,,,,"$62,870,546"
Pierre Pierre,2011,,,Comedy,,,,,,
Pierrot le fou,2007,Not Rated,110 minutes,Drama,,,,Jean-Luc Godard,"Jean-Paul Belmondo,Anna Karina",
Pieles,2017,,87 minutes,Drama,,,,Eduardo Casanova,,"$98,287"
Little Chenier,2008,R,,Drama,,,,,,
Little Children,2006,R,,Drama,,,,Todd Field,"Kate Winslet,Patrick Wilson","$14,121,177"
Little Boy Blue,1998,R,,,,,,,,
Little Buddha,1994,PG,,Drama,,,,Bernardo Bertolucci,Keanu Reeves,"$7,793,587"
A Little Chaos,2015,R,116 minutes,Drama,,,,Alan Rickman,"Kate Winslet,Matthias Schoenaerts,Alan Rickman,Stanley Tucci","$10,084,623"
Little B*tches,2017,R,,Comedy,,,,Nick Kreiss,,
Little Boxes,2017,Not Rated,89 minutes,Drama,,,,Rob Meyer,"Nelsan Ellis,Armani Jackson,Melanie Lynskey",
Little Black Book,2004,PG-13,,Romantic Comedy,,,,,,"$21,758,371"
A Little Bit Zombie,2012,R,87 minutes,Comedy,,,,,,
Little Boy,2015,PG-13,106 minutes,Drama,,,,Alejandro Montalvo,Jacob Salvati,"$17,684,355"
A Little Bit of Faith,2012,PG,,Drama,,,,,,
A Little Bit of Soul,1999,R,,,,,,,,
American Wrestler: The Wizard,2017,PG-13,,Drama,,,,Alex Ranarivelo,,
A Little Bit of Heaven,2012,PG-13,108 minutes,Romantic Comedy,,,,Nicole Kassell,"Kate Hudson,Gael Garcia Bernal","$1,100,287"
Little Birds,2012,R,96 minutes,Drama,,,,Elgin James,"Juno Temple,Kay Panabaker",
The American West of John Ford,2010,Not Rated,52 minutes,Documentary,,,,,,
An American Werewolf in London,1981,,,Horror,,,,John Landis,,"$61,973,249"
An American Werewolf in Paris,1997,R,,Horror,,,,,,
American Virgin,2009,R,88 minutes,,,,,,,
American Violence,2017,Not Rated,107 minutes,Thriller/Suspense,,,,"Timothy Woodward, Jr","Kaiwi Lyman,Michael Pare",
American Violet,2009,PG-13,103 minutes,Drama,,,,,Nicole Beharie,
American Wedding,2003,R,96 minutes,Comedy,,,,,"Jason Biggs,Alyson Hannigan","$126,425,115"
American Teen,2008,PG-13,95 minutes,Documentary,,,,,,"$989,319"
American Teacher,2011,Not Rated,81 minutes,Documentary,,,,Vanessa Roth,,
The American,2010,R,103 minutes,Thriller/Suspense,,,,Anton Corbijn,George Clooney,"$67,950,723"
American Ultra,2015,R,96 minutes,Black Comedy,,,,Nima Nourizadeh,"Jesse Eisenberg,Kristen Stewart","$30,295,076"
American Tail: The Treasure of Manhattan Island,2000,,,Adventure,,,,,,
An American Tail: Fievel Goes West,1991,G,75 minutes,Adventure,,,,Phil Nibbelink,,
An American Tail,1986,G,80 minutes,Adventure,,,,Don Bluth,,
American Swing,2009,Not Rated,,Documentary,,,,,,
Ivory Tower,2014,PG-13,90 minutes,Documentary,,,,Andrew Rossi,,
Iverson,2016,,,Documentary,,,,Zatella Beatty,,
The Ivory Game,2016,,,Documentary,,,,Kief Davidson,,$105
Ivory,2010,,,Drama,,,,Andrew Chan,,
Ivan's XTC,2002,Not Rated,,,,,,,,
Ivan Tsarevich i Seryy Volk 3,2016,,76 minutes,Adventure,,,,Darina Schmidt,,"$9,542,064"
Ivanhoe,1952,,106 minutes,,,,,,,"$18,803"
Ivanovo detstvo,1962,,,Drama,,,,Andrei Tarkovsky,,"$15,368"
Ivan Tsarevich i Seryy Volk,2011,,75 minutes,Action,,,,,,"$25,047,727"
Ivan and Ivana,2015,Not Rated,,Documentary,,,,Jeff Silva,,
Itty Bitty Titty Committee,2007,Not Rated,,Comedy,,,,,,
Holy Night!,2013,,,Adventure,,,,Juan Galinanes,,
Ivan the Incredible,2013,PG,,,,,,,,
Holy Matrimony,1994,,,Comedy,,,,Leonard Nimoy,,
The Holy Modal Rounders: Bound to Lose,2006,,,Documentary,,,,Sam Wainwright Douglas,,
Holy Man,1998,PG,113 minutes,Comedy,,,,Stephen Herek,Eddie Murphy,
