id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
2834,Assistance mortelle,2014,Not Rated,,Documentary,,,,Raoul Peck,,
2835,L'assaut,2012,R,95 minutes,Drama,,,,Julien Leclercq,Vincent Elbaz,
2836,The Assignment,1997,R,,Thriller/Suspense,,,,Christian Duguay,,
2837,The Assignment,2017,R,95 minutes,Thriller/Suspense,,,,Walter Hill,"Michelle Rodriguez,Sigourney Weaver","$166,339"
2838,Assaulted: Civil Rights Under Fire,2013,PG-13,,Documentary,,,,Kris Koenig,,
2839,Assault on Wall Street,2013,R,99 minutes,Thriller/Suspense,,,,Uwe Boll,Dominic Purcell,
2840,Assault at West Point: The Court-Martial of Johnson Whittaker,1994,,,,,,,,,
2841,Assassins Run,2012,R,,,,,,,,
2842,Assault On Precinct 13,2005,R,109 minutes,Action,,,,Jean-Francois Richet,,"$36,040,895"
2843,Durak,2016,,85 minutes,Thriller/Suspense,,,,,,"$15,998"
2844,Duplex,2003,PG-13,88 minutes,Comedy,,,,Danny De Vito,"Ben Stiller,Drew Barrymore","$10,070,651"
2845,Duplicity,2009,PG-13,125 minutes,Thriller/Suspense,,,,,"Julia Roberts,Clive Owen","$81,079,566"
2846,Assassinâ€™s Creed,2016,PG-13,116 minutes,Action,,,,Justin Kurzel,Michael Fassbender,"$240,497,948"
